2025-05-05 06:50:27 configure libpoppler134:amd64 24.02.0-1ubuntu9.4 <none>
2025-05-05 06:50:27 status unpacked libpoppler134:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:27 status half-configured libpoppler134:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:27 status installed libpoppler134:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:27 configure xserver-xorg-input-libinput:amd64 1.4.0-1ubuntu24.04.1 <none>
2025-05-05 06:50:27 status unpacked xserver-xorg-input-libinput:amd64 1.4.0-1ubuntu24.04.1
2025-05-05 06:50:27 status half-configured xserver-xorg-input-libinput:amd64 1.4.0-1ubuntu24.04.1
2025-05-05 06:50:27 status installed xserver-xorg-input-libinput:amd64 1.4.0-1ubuntu24.04.1
2025-05-05 06:50:27 configure libnetplan1:amd64 1.1.2-2~ubuntu24.04.1 <none>
2025-05-05 06:50:27 status unpacked libnetplan1:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:27 status half-configured libnetplan1:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:27 status installed libnetplan1:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:27 configure libpoppler-glib8t64:amd64 24.02.0-1ubuntu9.4 <none>
2025-05-05 06:50:27 status unpacked libpoppler-glib8t64:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:27 status half-configured libpoppler-glib8t64:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:27 status installed libpoppler-glib8t64:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:27 configure libpoppler-cpp0t64:amd64 24.02.0-1ubuntu9.4 <none>
2025-05-05 06:50:27 status unpacked libpoppler-cpp0t64:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:27 status half-configured libpoppler-cpp0t64:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:27 status installed libpoppler-cpp0t64:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:27 configure python3-netplan:amd64 1.1.2-2~ubuntu24.04.1 <none>
2025-05-05 06:50:27 status unpacked python3-netplan:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:27 status half-configured python3-netplan:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:27 status installed python3-netplan:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:27 configure poppler-utils:amd64 24.02.0-1ubuntu9.4 <none>
2025-05-05 06:50:27 status unpacked poppler-utils:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:27 status half-configured poppler-utils:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:27 status installed poppler-utils:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:27 configure netplan-generator:amd64 1.1.2-2~ubuntu24.04.1 <none>
2025-05-05 06:50:27 status unpacked netplan-generator:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:27 status half-configured netplan-generator:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:27 status installed netplan-generator:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:27 configure xwayland:amd64 2:23.2.6-1ubuntu0.5 <none>
2025-05-05 06:50:27 status unpacked xwayland:amd64 2:23.2.6-1ubuntu0.5
2025-05-05 06:50:27 status half-configured xwayland:amd64 2:23.2.6-1ubuntu0.5
2025-05-05 06:50:27 status installed xwayland:amd64 2:23.2.6-1ubuntu0.5
2025-05-05 06:50:27 configure netplan.io:amd64 1.1.2-2~ubuntu24.04.1 <none>
2025-05-05 06:50:27 status unpacked netplan.io:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:27 status half-configured netplan.io:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:27 status installed netplan.io:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:27 trigproc desktop-file-utils:amd64 0.27-2build1 <none>
2025-05-05 06:50:27 status half-configured desktop-file-utils:amd64 0.27-2build1
